;Author;Author ID
978;Peter Kuper;978
979;Franz Kafka;979
980;Judith Butler;980
981;Gill Harvey;981
982;Martin Woodside;982
983;Sena Jeter Naslund;983
984;Hunter S. Thompson;984
985;Amy Tan;985
986;Richard H. Minear;986
987;Theo LeSieg;987
988;Julia Butterfly Hill;988
989;Brian Boyd;989
990;T. Coraghessan Boyle;990
991;Elizabeth Hardwick;991
992;Jim Toomey;992
993;Scott Adams;993
994;Aimee Bender;994
995;Mike  Davis;995
996;Justin Akers Chacón;996
997;Steve Erickson;997
998;Robert Ludlum;998
999;Maud Hart Lovelace;999
1000;Julie A. Schrader;1000
1001;Margaret Sidney;1001
1002;Sydney Taylor;1002
1003;Carol Ryrie Brink;1003
1004;Carolyn Haywood;1004
1005;Orson Scott Card;1005
1006;Brian Jacques;1006
1007;Roger Hargreaves;1007
1008;Margery Clark;1008
1009;Judi Barrett;1009
1010;Robin McKinley;1010
1011;Barbara Taylor Bradford;1011
1012;Jeanne Treat;1012
1013;Richard A. Knaak;1013
1014;William   Anderson;1014
1015;Laura Ingalls Wilder;1015
1016;Tim Freke;1016
1017;Jean-Luc Marion;1017
1018;Hans Jonas;1018
1019;Melissa Wiley;1019
1020;Donald Zochert;1020
1021;Cynthia Rylant;1021
1022;Ann Romines;1022
1023;Carolyn Strom Collins;1023
1024;Barbara M. Walker;1024
1025;Rose Wilder Lane;1025
1026;David Burnie;1026
1027;Melody Malmberg;1027
1028;Sergio Ramírez;1028
1029;Jeanne DuPrau;1029
1030;Frank E. Peretti;1030
1031;Mary O'Neill;1031
1032;Simone de Beauvoir;1032
1033;Mary Daly;1033
1034;R.B. Bernstein;1034
1035;Thomas Jefferson;1035
1036;Dennis Brindell Fradin;1036
1037;Monty Roberts;1037
1038;Dick Francis;1038
1039;Lynne Truss;1039
1040;Ian Hemphill;1040
1041;Patrick O'Brian;1041
1042;Tom McGregor;1042
1043;Karen Hawkins;1043
1044;Timothy D. Taylor;1044
1045;Timothy  Taylor;1045
1046;Mary Lawson;1046
1047;John Dickson Carr;1047
1048;Anthony Robbins;1048
1049;Edward C. Klatt;1049
1050;Hélène Greven-Borde;1050
1051;Gore Vidal;1051
1052;Al Gore;1052
1053;Ruth Reichl;1053
1054;Nikos Kazantzakis;1054
1055;Leslie Kelly;1055
1056;Val McDermid;1056
1057;Waris Dirie;1057
1058;Joanna Strange;1058
1059;W.F. Deedes;1059
1060;Nora Ephron;1060
